Timestamp, COUNTER_MEMS, INTERPOLATED_MEMS, Q0, Q1, Q2, Q3, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ
1572913275.1841, 17, 0, 0.434085, -0.527222, -0.440125, -0.583008, 0.978042, 0.053223, 0.053223, -73.871977, -75.217823, 63.852903
1572913275.1996, 18, 0, 0.434179, -0.527161, -0.440186, -0.582947, 0.987808, 0.055177, 0.056641, -74.47013, -72.825208, 64.451057
1572913275.2151, 19, 0, 0.434211, -0.5271, -0.440308, -0.582886, 0.983902, 0.042481, 0.041993, -74.769207, -73.423362, 63.852903
1572913275.2309, 20, 0, 0.434162, -0.527039, -0.44043, -0.582886, 0.987808, 0.055177, 0.056641, -76.563668, -73.5729, 64.15198
1572913275.2465, 21, 0, 0.434179, -0.527161, -0.440186, -0.582947, 0.983902, 0.042481, 0.041993, -74.769207, -73.423362, 63.852903
1572913275.2623, 22, 0, 0.434194, -0.526978, -0.440552, -0.582825, 0.993668, 0.0542, 0.052735, -75.666438, -75.068284, 63.404288
1572913275.278, 23, 0, 0.434206, -0.526917, -0.440613, -0.582825, 0.983902, 0.042481, 0.041993, -75.068284, -73.423362, 61.609827
1572913275.2937, 24, 0, 0.434256, -0.526978, -0.440491, -0.582825, 0.993668, 0.0542, 0.052735, -75.965515, -75.217823, 63.553826
1572913275.3092, 25, 0, 0.434239, -0.527161, -0.440369, -0.582764, 0.985367, 0.043946, 0.052247, -73.871977, -72.974746, 63.553826
1572913275.3248, 26, 0, 0.434453, -0.527222, -0.440247, -0.582642, 0.995132, 0.0542, 0.0542, -74.769207, -74.171054, 62.806134
1572913275.3405, 27, 0, 0.43455, -0.527344, -0.440247, -0.582458, 0.985367, 0.043946, 0.052247, -75.068284, -74.171054, 64.301518
1572913275.3562, 28, 0, 0.434783, -0.527405, -0.440186, -0.582275, 0.995132, 0.0542, 0.0542, -74.769207, -74.171054, 62.806134
1572913275.3717, 29, 0, 0.434974, -0.527466, -0.440247, -0.582031, 0.994644, 0.049317, 0.041505, -74.769207, -72.974746, 63.852903
1572913275.3872, 30, 0, 0.435088, -0.527405, -0.440369, -0.581909, 0.990738, 0.05713, 0.041993, -74.918746, -74.320592, 63.404288
1572913275.4029, 31, 0, 0.435194, -0.527283, -0.440491, -0.581848, 0.994644, 0.049317, 0.041505, -75.367361, -73.124285, 63.703365
1572913275.4186, 32, 0, 0.435319, -0.527161, -0.440674, -0.581726, 0.990738, 0.05713, 0.041993, -75.068284, -74.171054, 64.301518
1572913275.4343, 33, 0, 0.435208, -0.5271, -0.440857, -0.581726, 0.996109, 0.045411, 0.049805, -74.47013, -72.376593, 63.404288
1572913275.45, 34, 0, 0.435267, -0.5271, -0.44104, -0.581543, 1.005386, 0.062013, 0.047852, -76.713207, -74.918746, 62.357519
1572913275.4657, 35, 0, 0.435183, -0.5271, -0.441284, -0.581421, 0.996109, 0.045411, 0.049805, -75.666438, -73.871977, 63.703365
1572913275.4812, 36, 0, 0.435172, -0.527039, -0.441528, -0.581299, 1.005386, 0.062013, 0.047852, -74.918746, -73.5729, 62.955673
1572913275.4968, 37, 0, 0.435267, -0.5271, -0.44104, -0.581543, 0.993668, 0.063478, 0.054688, -75.965515, -73.423362, 63.852903
1572913275.5125, 38, 0, 0.435285, -0.526978, -0.44165, -0.581177, 1.005386, 0.062013, 0.047852, -74.918746, -73.5729, 62.955673
1572913275.5282, 39, 0, 0.435344, -0.526978, -0.441833, -0.580994, 0.993668, 0.063478, 0.054688, -75.666438, -72.376593, 63.703365
1572913275.5439, 40, 0, 0.435387, -0.526855, -0.442017, -0.580933, 0.98146, 0.052247, 0.046876, -73.423362, -74.171054, 65.04921
1572913275.5596, 41, 0, 0.435507, -0.526855, -0.442139, -0.58075, 0.979019, 0.055177, 0.05127, -75.068284, -74.47013, 64.301518
1572913275.5751, 42, 0, 0.435701, -0.526794, -0.442261, -0.580566, 0.98146, 0.052247, 0.046876, -73.423362, -74.171054, 65.04921
1572913275.5906, 43, 0, 0.435678, -0.526794, -0.442444, -0.580444, 0.979019, 0.055177, 0.05127, -75.068284, -74.47013, 64.301518
1572913275.6061, 44, 0, 0.435853, -0.526733, -0.442505, -0.580322, 0.992203, 0.035645, 0.043458, -75.367361, -73.871977, 62.507057
1572913275.6216, 45, 0, 0.43581, -0.526733, -0.442627, -0.580261, 0.984878, 0.047852, 0.046387, -75.666438, -73.5729, 62.955673
1572913275.6371, 46, 0, 0.435779, -0.526672, -0.44281, -0.5802, 0.992203, 0.035645, 0.043458, -75.367361, -73.871977, 62.507057
1572913275.6526, 47, 0, 0.435829, -0.526611, -0.442993, -0.580078, 0.984878, 0.047852, 0.046387, -75.666438, -73.5729, 62.955673
1572913275.6682, 48, 0, 0.435945, -0.526428, -0.443176, -0.580017, 0.984878, 0.043458, 0.038575, -74.47013, -73.5729, 64.899672
1572913275.6839, 49, 0, 0.435969, -0.526306, -0.443298, -0.580017, 0.986343, 0.053223, 0.053223, -74.171054, -74.619669, 63.404288
1572913275.6996, 50, 0, 0.436015, -0.526062, -0.443542, -0.580017, 0.984878, 0.043458, 0.038575, -74.47013, -73.5729, 64.899672
1572913275.7154, 51, 0, 0.436057, -0.52594, -0.443726, -0.579956, 0.986343, 0.053223, 0.053223, -74.918746, -73.5729, 63.703365
1572913275.7311, 52, 0, 0.43618, -0.525818, -0.443909, -0.579834, 0.988785, 0.055177, 0.041016, -75.367361, -73.871977, 65.198749
1572913275.7468, 53, 0, 0.436015, -0.526062, -0.443542, -0.580017, 0.984878, 0.043458, 0.038575, -74.918746, -73.5729, 64.15198
1572913275.7625, 54, 0, 0.436292, -0.525757, -0.444031, -0.579712, 0.992691, 0.049317, 0.039551, -76.563668, -74.619669, 64.15198
1572913275.7782, 55, 0, 0.436473, -0.525757, -0.444092, -0.579529, 0.990249, 0.057618, 0.05127, -74.918746, -73.5729, 64.15198
1572913275.7939, 56, 0, 0.436561, -0.525818, -0.444092, -0.579407, 1.007828, 0.047364, 0.043946, -76.563668, -73.5729, 64.15198
1572913275.8096, 57, 0, 0.436669, -0.525879, -0.444153, -0.579224, 0.979019, 0.052735, 0.041016, -76.115053, -73.5729, 64.451057
1572913275.8253, 58, 0, 0.436607, -0.525879, -0.444214, -0.579224, 1.007828, 0.047364, 0.043946, -76.862745, -74.320592, 63.404288
1572913275.841, 59, 0, 0.436633, -0.52594, -0.444275, -0.579102, 0.979019, 0.052735, 0.041016, -75.516899, -74.47013, 64.600595
1572913275.8567, 60, 0, 0.436714, -0.52594, -0.444275, -0.579041, 0.990249, 0.057618, 0.050782, -75.516899, -75.965515, 65.497826
1572913275.8724, 61, 0, 0.436671, -0.52594, -0.444397, -0.578979, 0.987808, 0.057618, 0.041993, -74.918746, -73.871977, 63.404288
1572913275.8881, 62, 0, 0.436767, -0.525757, -0.444519, -0.578979, 0.990249, 0.057618, 0.050782, -75.516899, -75.965515, 65.497826
1572913275.9038, 63, 0, 0.43668, -0.525757, -0.444763, -0.578857, 0.987808, 0.057618, 0.041993, -75.666438, -74.619669, 64.451057
1572913275.9195, 0, 0, 0.436721, -0.525635, -0.444946, -0.578796, 0.980484, 0.055177, 0.03418, -74.171054, -73.124285, 63.703365
1572913275.935, 1, 0, 0.436744, -0.525513, -0.445068, -0.578796, 0.979995, 0.059083, 0.044434, -75.516899, -74.47013, 63.852903
1572913275.9506, 2, 0, 0.436755, -0.525452, -0.445129, -0.578796, 0.980484, 0.055177, 0.03418, -74.171054, -73.124285, 63.703365
1572913275.9664, 3, 0, 0.436671, -0.525574, -0.445068, -0.578796, 0.979995, 0.059083, 0.044434, -75.516899, -74.47013, 63.852903
1572913275.9821, 4, 0, 0.436744, -0.525513, -0.445068, -0.578796, 1.004898, 0.039551, 0.037598, -76.115053, -73.5729, 64.451057
1572913275.9978, 5, 0, 0.436795, -0.525574, -0.444946, -0.578796, 0.979995, 0.059083, 0.044434, -74.47013, -72.825208, 63.404288
1572913276.0135, 6, 0, 0.436776, -0.525574, -0.444885, -0.578857, 1.004898, 0.039551, 0.037598, -76.115053, -73.5729, 64.451057
1572913276.0292, 7, 0, 0.436846, -0.525635, -0.444824, -0.578796, 0.980972, 0.043458, 0.035645, -76.713207, -74.171054, 63.553826
1572913276.0448, 8, 0, 0.436853, -0.525696, -0.444824, -0.578735, 0.984878, 0.042481, 0.051759, -74.769207, -72.974746, 63.852903
1572913276.0604, 9, 0, 0.436853, -0.525696, -0.444824, -0.578735, 0.980972, 0.043458, 0.035645, -76.264591, -74.171054, 63.852903
1572913276.0761, 10, 0, 0.43681, -0.525696, -0.444946, -0.578674, 0.984878, 0.042481, 0.051759, -75.516899, -72.974746, 64.600595
1572913276.0918, 11, 0, 0.436778, -0.525635, -0.445129, -0.578613, 0.986343, 0.051759, 0.040528, -76.264591, -73.722438, 63.105211
1572913276.1075, 12, 0, 0.436778, -0.525635, -0.445129, -0.578613, 0.975113, 0.05127, 0.044923, -74.918746, -74.320592, 63.404288
1572913276.1232, 13, 0, 0.436741, -0.525696, -0.445251, -0.578491, 0.986343, 0.051759, 0.040528, -76.563668, -72.376593, 63.404288
1572913276.1389, 14, 0, 0.43676, -0.525696, -0.445313, -0.57843, 0.975113, 0.05127, 0.044923, -75.965515, -73.722438, 63.852903
1572913276.1546, 15, 0, 0.436779, -0.525696, -0.445374, -0.578369, 0.977066, 0.05713, 0.036622, -75.516899, -72.974746, 64.301518
1572913276.1703, 16, 0, 0.436779, -0.525696, -0.445374, -0.578369, 0.986831, 0.049805, 0.050294, -74.769207, -73.423362, 64.600595
1572913276.1859, 17, 0, 0.436767, -0.525757, -0.445313, -0.578369, 0.977066, 0.05713, 0.036622, -75.367361, -73.5729, 64.451057
1572913276.2014, 18, 0, 0.436756, -0.525818, -0.445251, -0.578369, 0.986831, 0.049805, 0.050294, -75.367361, -73.871977, 64.451057
1572913276.2169, 19, 0, 0.436779, -0.525696, -0.445374, -0.578369, 0.993668, 0.067872, 0.049317, -75.516899, -74.47013, 64.600595
1572913276.2324, 20, 0, 0.436782, -0.525879, -0.445313, -0.578247, 0.986831, 0.049805, 0.050294, -75.367361, -73.871977, 64.451057
1572913276.2479, 21, 0, 0.437013, -0.52594, -0.445251, -0.578064, 0.993668, 0.067872, 0.049317, -75.666438, -74.320592, 62.955673
1572913276.2636, 22, 0, 0.437032, -0.52594, -0.445313, -0.578003, 0.997086, 0.053223, 0.051759, -76.115053, -73.124285, 63.404288
1572913276.2793, 23, 0, 0.437127, -0.526062, -0.445313, -0.57782, 0.979507, 0.059571, 0.039551, -75.068284, -73.722438, 63.852903
1572913276.295, 24, 0, 0.437156, -0.526001, -0.445435, -0.577759, 0.997086, 0.053223, 0.051759, -76.115053, -73.124285, 63.404288
1572913276.3107, 25, 0, 0.437168, -0.52594, -0.445496, -0.577759, 0.979507, 0.059571, 0.039551, -75.068284, -73.722438, 63.105211
1572913276.3264, 26, 0, 0.437168, -0.52594, -0.445496, -0.577759, 0.993179, 0.047364, 0.046387, -75.666438, -72.825208, 64.15198
1572913276.3421, 27, 0, 0.437036, -0.525879, -0.445618, -0.57782, 0.983413, 0.044434, 0.042481, -76.563668, -73.5729, 63.404288
1572913276.3578, 28, 0, 0.437121, -0.525757, -0.445679, -0.57782, 0.993179, 0.047364, 0.046387, -75.666438, -73.124285, 64.451057
1572913276.3735, 29, 0, 0.436978, -0.525757, -0.44574, -0.577881, 0.983413, 0.044434, 0.042481, -76.264591, -73.423362, 63.553826
1572913276.3891, 30, 0, 0.436915, -0.525757, -0.445801, -0.577881, 0.989761, 0.059083, 0.049317, -75.666438, -73.871977, 64.451057
